TimeStamp	Impedance_Z	Resistance_Rp	Capacity_Cp	Phase	Force
2025-03-03_04-02-56.206	47.6782E+06	226.098E+06	0.0326E-12	-77.826		0.04073
2025-03-03_04-02-56.417	49.1152E+06	512.388E+06	0.0323E-12	-84.499		-0.00435
2025-03-03_04-02-56.826	48.7128E+06	348.273E+06	0.0324E-12	-81.960		0.01097
2025-03-03_04-02-57.235	47.6292E+06	246.448E+06	0.0328E-12	-78.857		0.08293
2025-03-03_04-02-57.645	47.9687E+06	236.292E+06	0.0325E-12	-78.287		-0.04322
2025-03-03_04-02-58.054	50.4432E+06	233.474E+06	0.0308E-12	-77.523		0.03007
2025-03-03_04-02-58.463	45.9573E+06	163.152E+06	0.0332E-12	-73.639		0.11313
2025-03-03_04-02-58.873	46.7657E+06	307.032E+06	0.0336E-12	-81.239		0.20529
2025-03-03_04-02-59.282	46.0984E+06	237.890E+06	0.0339E-12	-78.827		0.25526
2025-03-03_04-02-59.691	47.1288E+06	261.941E+06	0.0332E-12	-79.635		0.28791
2025-03-03_04-03-00.100	46.5337E+06	525.268E+06	0.0341E-12	-84.917		0.23150
2025-03-03_04-03-00.509	45.3626E+06	241.614E+06	0.0345E-12	-79.179		0.21151
2025-03-03_04-03-00.918	50.4937E+06	290.475E+06	0.0310E-12	-79.989		0.28147
2025-03-03_04-03-01.328	45.6160E+06	218.671E+06	0.0341E-12	-77.959		0.20774
2025-03-03_04-03-01.737	43.7658E+06	367.522E+06	0.0361E-12	-83.161		0.14178
2025-03-03_04-03-02.146	46.0407E+06	243.543E+06	0.0339E-12	-79.103		0.16487
2025-03-03_04-03-02.556	47.3316E+06	410.841E+06	0.0334E-12	-83.384		0.20796
2025-03-03_04-03-02.965	46.7721E+06	326.020E+06	0.0337E-12	-81.752		0.09603
2025-03-03_04-03-03.374	51.9780E+06	490.429E+06	0.0304E-12	-83.916		0.23572
2025-03-03_04-03-03.783	48.4260E+06	332.264E+06	0.0325E-12	-81.620		0.05983
2025-03-03_04-03-04.193	49.6473E+06	259.763E+06	0.0315E-12	-78.982		0.08115
2025-03-03_04-03-04.602	48.5892E+06	427.003E+06	0.0325E-12	-83.466		0.08137
2025-03-03_04-03-05.011	47.1794E+06	203.773E+06	0.0328E-12	-76.613		-0.02923
2025-03-03_04-03-05.421	46.5121E+06	330.672E+06	0.0339E-12	-81.914		-0.05787
2025-03-03_04-03-05.830	47.1322E+06	209.443E+06	0.0329E-12	-76.995		-0.18979
