TimeStamp	Impedance_Z	Resistance_Rp	Capacity_Cp[pF]	Phase	Force
2025-03-03_04-02-56.206	47678200	226098000	0.0326	-77.826	0.04073
2025-03-03_04-02-56.417	49115200	512388000	0.0323	-84.499	-0.00435
2025-03-03_04-02-56.826	48712800	348273000	0.0324	-81.96	0.01097
2025-03-03_04-02-57.235	47629200	246448000	0.0328	-78.857	0.08293
2025-03-03_04-02-57.645	47968700	236292000	0.0325	-78.287	-0.04322
2025-03-03_04-02-58.054	50443200	233474000	0.0308	-77.523	0.03007
2025-03-03_04-02-58.463	45957300	163152000	0.0332	-73.639	0.11313
2025-03-03_04-02-58.873	46765700	307032000	0.0336	-81.239	0.20529
2025-03-03_04-02-59.282	46098400	237890000	0.0339	-78.827	0.25526
2025-03-03_04-02-59.691	47128800	261941000	0.0332	-79.635	0.28791
2025-03-03_04-03-00.100	46533700	525268000	0.0341	-84.917	0.2315
2025-03-03_04-03-00.509	45362600	241614000	0.0345	-79.179	0.21151
2025-03-03_04-03-00.918	50493700	290475000	0.031	-79.989	0.28147
2025-03-03_04-03-01.328	45616000	218671000	0.0341	-77.959	0.20774
2025-03-03_04-03-01.737	43765800	367522000	0.0361	-83.161	0.14178
2025-03-03_04-03-02.146	46040700	243543000	0.0339	-79.103	0.16487
2025-03-03_04-03-02.556	47331600	410841000	0.0334	-83.384	0.20796
2025-03-03_04-03-02.965	46772100	326020000	0.0337	-81.752	0.09603
2025-03-03_04-03-03.374	51978000	490429000	0.0304	-83.916	0.23572
2025-03-03_04-03-03.783	48426000	332264000	0.0325	-81.62	0.05983
2025-03-03_04-03-04.193	49647300	259763000	0.0315	-78.982	0.08115
2025-03-03_04-03-04.602	48589200	427003000	0.0325	-83.466	0.08137
2025-03-03_04-03-05.011	47179400	203773000	0.0328	-76.613	-0.02923
2025-03-03_04-03-05.421	46512100	330672000	0.0339	-81.914	-0.05787
2025-03-03_04-03-05.830	47132200	209443000	0.0329	-76.995	-0.18979
2025-03-03_04-03-06.239	45921000	235283000	0.034	-78.745	-0.18069
2025-03-03_04-03-06.649	44224600	391624000	0.0358	-83.516	-0.13294
2025-03-03_04-03-07.058	46797800	372233000	0.0337	-82.778	0.00831
2025-03-03_04-03-07.467	46814100	412891000	0.0338	-83.49	-0.02589
2025-03-03_04-03-07.876	48913000	412776000	0.0323	-83.195	-0.1074
2025-03-03_04-03-08.285	44569900	165140000	0.0344	-74.342	-0.29706
2025-03-03_04-03-08.695	49626300	213700000000	0.0321	-88.669	-0.39899
2025-03-03_04-03-09.104	47930200	188704000000	0.0332	-88.545	-0.46584
2025-03-03_04-03-09.513	45432300	-369598000000	0.035	-90.704	-0.381
2025-03-03_04-03-09.922	44964900	194867000	0.0344	-76.659	-0.37767
2025-03-03_04-03-10.332	43854000	194173000	0.0354	-76.947	-0.22555
2025-03-03_04-03-10.741	49586800	246604000	0.0314	-78.4	-0.24753
2025-03-03_04-03-11.150	52090600	334896000	0.0302	-81.052	-0.24576
2025-03-03_04-03-11.560	47346800	319689000	0.0332	-81.483	-0.2331
2025-03-03_04-03-11.969	46134200	280490000	0.034	-80.533	-0.45074
2025-03-03_04-03-12.378	46653100	252618000	0.0335	-79.358	-0.56178
2025-03-03_04-03-12.787	46571800	256677000	0.0336	-79.546	-0.36301
2025-03-03_04-03-13.197	46497000	316886000	0.0339	-81.562	-0.38833
2025-03-03_04-03-13.606	48257000	292152000	0.0325	-80.492	-0.25886
2025-03-03_04-03-14.015	49966600	215756000	0.031	-76.609	-0.20822
